annee,iso3_accueil,iso3_origine,nb_demandes
2015,SWE,ETH,174
2015,SWE,GHA,19
2015,SWE,GIN,11
2015,SWE,GMB,52
2015,SWE,GNB,5
2015,SWE,KEN,7
2015,SWE,LBR,5
2015,SWE,LBY,90
2015,SWE,MAR,214
2015,SWE,MDG,5
2015,SWE,MLI,5
2015,SWE,MRT,5
2015,SWE,NGA,124
2015,SWE,RWA,6
2015,SWE,SDN,81
2015,SWE,SEN,12
2015,SWE,SLE,12
2015,SWE,SOM,827
2015,SWE,TGO,5
2015,SWE,TUN,50
2015,SWE,TZA,13
2015,SWE,UGA,49
2015,SWE,ZAF,5
2015,SWE,ZMB,5
2016,BEL,AGO,26
2016,BEL,BDI,26
2016,BEL,BEN,17
2016,BEL,BFA,21
2016,BEL,CAF,7
2016,BEL,CIV,37
2016,BEL,CMR,108
2016,BEL,COD,358
2016,BEL,COG,5
2016,BEL,DJI,34
2016,BEL,DZA,17
2016,BEL,EGY,18
2016,BEL,ERI,25
2016,BEL,ETH,41
2016,BEL,GAB,5
2016,BEL,GHA,20
2016,BEL,GIN,283
2016,BEL,GMB,16
2016,BEL,KEN,14
2016,BEL,LBR,5
2016,BEL,MAR,40
2016,BEL,MLI,15
2016,BEL,MRT,40
2016,BEL,NER,31
2016,BEL,NGA,46
2016,BEL,RWA,92
2016,BEL,SDN,16
2016,BEL,SEN,89
2016,BEL,SLE,5
2016,BEL,SOM,286
2016,BEL,TCD,6
2016,BEL,TGO,93
2016,BEL,TUN,23
2016,BEL,TZA,6
2016,BEL,UGA,5
2016,BEL,ZWE,6
2016,CYP,CMR,5
2016,CYP,COD,5
2016,CYP,EGY,57
2016,CYP,NGA,6
2016,CYP,SLE,5
2016,CYP,SOM,28
2016,DNK,BDI,5
2016,DNK,COD,8
2016,DNK,DZA,5
2016,DNK,EGY,15
2016,DNK,ERI,25
2016,DNK,ETH,57
2016,DNK,GHA,5
2016,DNK,GIN,5
2016,DNK,GMB,5
2016,DNK,LBY,14
2016,DNK,MAR,15
2016,DNK,NGA,33
2016,DNK,RWA,5
2016,DNK,SDN,43
2016,DNK,SOM,104
2016,DNK,TUN,5
2016,DNK,UGA,21
2016,FRA,AGO,320
2016,FRA,BDI,5
2016,FRA,BEN,5
2016,FRA,BFA,57
2016,FRA,CAF,312
2016,FRA,CIV,785
2016,FRA,CMR,255
2016,FRA,COD,2501
2016,FRA,COG,294
2016,FRA,COM,104
2016,FRA,DJI,26
2016,FRA,DZA,1177
2016,FRA,EGY,183
2016,FRA,ERI,626
2016,FRA,ESH,440
2016,FRA,ETH,133
2016,FRA,GAB,21
2016,FRA,GHA,26
2016,FRA,GIN,1104
2016,FRA,GMB,139
2016,FRA,GNB,75
2016,FRA,GNQ,6
2016,FRA,KEN,18
2016,FRA,LBR,13
2016,FRA,LBY,68
2016,FRA,MAR,150
2016,FRA,MDG,62
2016,FRA,MLI,990
2016,FRA,MRT,739
2016,FRA,MUS,5
2016,FRA,NER,16
2016,FRA,NGA,1413
2016,FRA,RWA,43
2016,FRA,SDN,2766
2016,FRA,SEN,243
2016,FRA,SLE,77
2016,FRA,SOM,585
2016,FRA,TCD,297
2016,FRA,TGO,121
2016,FRA,TUN,89
2016,FRA,TZA,5
2016,FRA,UGA,8
2016,FRA,ZAF,5
2016,FRA,ZWE,9
2016,GRC,BFA,16
2016,GRC,CIV,34
2016,GRC,CMR,97
2016,GRC,COD,31
2016,GRC,COG,9
2016,GRC,DZA,356
2016,GRC,EGY,327
2016,GRC,ERI,21
2016,GRC,ETH,38
2016,GRC,GHA,54
2016,GRC,GIN,25
2016,GRC,GMB,26
2016,GRC,KEN,14
2016,GRC,LBR,6
2016,GRC,LBY,5
2016,GRC,MAR,173
2016,GRC,MLI,33
2016,GRC,MRT,7
2016,GRC,NER,7
2016,GRC,NGA,235
2016,GRC,RWA,5
2016,GRC,SDN,14
2016,GRC,SEN,59
2016,GRC,SLE,23
2016,GRC,SOM,15
2016,GRC,TGO,5
2016,GRC,TUN,23
2016,GRC,TZA,6
2016,GRC,UGA,31
2016,IRL,AGO,5
2016,IRL,BDI,5
2016,IRL,BWA,5
2016,IRL,CIV,5
2016,IRL,CMR,13
2016,IRL,COD,74
2016,IRL,COG,5
2016,IRL,DZA,67
2016,IRL,ETH,5
2016,IRL,GHA,11
2016,IRL,KEN,5
2016,IRL,LBY,5
2016,IRL,LSO,5
2016,IRL,MAR,5
2016,IRL,MUS,17
2016,IRL,MWI,97
2016,IRL,NGA,203
